"collections_title","collections_url","collections_tags_media","collections_tags_subject","collections_description"
"Alabama Photographs and Pictures Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/photo","Media-Photos","","The Alabama Photographs and Pictures Collection includes over 20\,000 images covering a a wide range of topics\, places\, and individuals from throughout the state's history. Explore the collection using either the search box above or the suggested topics below. For other images from the Alabama Archives\, see the Jim Peppler Southern …"
"Alabama Textual Materials Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/voices","","","This collection contains a selection of textual materials such as letters\, diaries\, minutes\, fliers\, clippings\, and excerpts from books. State publications\, the Alabama Historical Quarterly\, the Alabama Official and Statistical Register\, and the History of Alabama and Dictionary of Alabama Biography are in separate collections."
"Alabama Maps Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/maps","Media-Maps","","This collection contains a sampling of maps from the extensive holdings at the Alabama Department of Archives and History. The maps span 300 years\, documenting not only Alabama's geographic past\, but also that of the region\, nation\, and continent. For information about maps that have not yet been digitized\, see the ADAH maps …"
"Jim Peppler Southern Courier Photograph Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/peppler","Media-Photos","","James H. “Jim” Peppler\, a native of Philadelphia\, Pennsylvania\, was a staff photographer of the weekly paper\, The Southern Courier\, from July 1965 to mid-1968. Founded by staff members of The Harvard Crimson\, the Courier recruited a biracial staff of both students and professional journalists from many parts of the country\, with the …"
"Alabama Media Group Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/amg","Media-Photos","","In December 2016 Alabama Media Group (AMG) donated its collection of historical photographic negatives to the Alabama Department of Archives and History. This collection contains more than 3 million negatives taken by newspaper photographers working for the Birmingham News\, the Huntsville Times\, and Mobile’s Press-Register between …"
"Alabama Posters Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/p17217coll1","","","This collection contains posters from the holdings at the Alabama Department of Archives and History. The collection is particularly strong in World War I material\, which was actively acquired by Archives staff in the 1910s and 1920s. Use the link below to browse all the items\, or choose from the list of topics that are well represented …"
"Alabama Folklife Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/folk","","","This collection features a selection of images and audio recordings from the Archive of Alabama Folk Culture (AAFC). The AAFC was established in 2007 in order to house and make available the body of fieldwork gathered by the Alabama Folklife Association and the Alabama Center for Traditional Culture. The AAFC continues to receive and …"
"Alabama World War I Service Records","http://digital.archives.alabama.gov/cdm/landingpage/collection/p17217coll3","","War-WW1","This collection consists of index cards with personal details about Alabamians who served in the armed forces during World War I. Information recorded may include name\, race\, age\, date and place of birth\, home address\, date and location of induction\, units served in\, rank\, engagements\, wounds\, dates and locations of service\, date of …"
"Alabama Genealogy and History Publications","http://digital.archives.alabama.gov/cdm/landingpage/collection/hgpub","","","To commemorate Alabama's bicentennial\, the genealogical and historical community has partnered with the Alabama Bicentennial Commission and the Alabama Department of Archives and History (ADAH) to create a portal to publications documenting the story of the state's people and its past. Much of this collection will consist of …"
"Alabama Legislative Acts\, Journals\, and Constitutions","http://digital.archives.alabama.gov/cdm/landingpage/collection/legislature","","","The Alabama Legislative Acts\, Journals\, and Constitutions Collection consists of the nineteenth century House and Senate journals; the nineteenth and twentieth century acts; and the six state constitutions and related material. "
"Alabama Governors' Executive Orders Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/executive","","","This collection includes executive orders issued by Alabama governors from 1943 to the near present. It is updated following the conclusion of each fiscal year or the conclusion of a gubernatorial administration. Enter keywords in the box above to search the contents of the orders\, or browse by governor from the list below."
