"collections_title","collections_url","collections_tags_media","collections_tags_subject","collections_description"
"Aaron Copland Collection","https://www.loc.gov/collections/aaron-copland/about-this-collection/","Media-Photos","","The first release of the online collection contains approximately 1\,000 items that yield a total of about 5\,000 images. These items date from 1899 to 1981\, with most from the 1920s through the 1950s\, and were selected from Copland's music sketches\, correspondence\, writings\, and photographs. Celebrating the centennial of the birth of the American composer Aaron Copland (1900-1990)\, the multi-format Aaron Copland Collection\, from..."
"Abdul Hamid II Collection","https://www.loc.gov/collections/abdul-hamid-ii/about-this-collection/","Media-Photos","","This collection contains 1\,819 photographs in 51 large-format albums date from about 1880 to 1893. They portray the Ottoman Empire during the reign of one of its last sultans\, Abdul-Hamid II and highlight the modernization of numerous aspects of the Ottoman Empire. Most of the places depicted are within the boundaries of modern-day Turkey\, but buildings and sites in Iraq\, Lebanon\, Greece and other..."
"Abdul-Hamid II Collection of Books and Serials Gifted to the Library of Congress","https://www.loc.gov/collections/abdul-hamid-ii-books/about-this-collection/","","","In 1884 Sultan Abdul-Hamid II gifted the Library of Congress with a collection of Ottoman Turkish\, Persian\, Arabic works that he had richly embossed with this inscription in English\, French and Ottoman: \"Gift made by H.I. M. the Sultan Abdul-Hamid II to the national library of the United States of America through the Honorable A.S. Hewitt Member of the House of Representatives A.H. 1302-1884..."
"Abraham Lincoln Papers at the Library of Congress","https://www.loc.gov/collections/abraham-lincoln-papers/about-this-collection/","","","The papers of Abraham Lincoln (1809-1865)\, lawyer\, representative from Illinois\, and sixteenth president of the United States\, contain approximately 40\,550 documents dating from 1774 to 1948\, although most of the collection spans from the 1850s through Lincoln’s presidency (1861-1865). Roughly half of the collection\, more than 20\,000 documents\, comprising 62\,000 images\, as well as transcriptions of approximately 10\,000 documents\, is online. Included on this..."
"Afghanistan Web Archive","https://www.loc.gov/collections/afghanistan-web-archive/about-this-collection/","","","Collection Period: July 2\, 2009 to December 8\, 2010. The Afghanistan Web Archive is comprised primarily of websites produced by the Afghan government\, specifically the executive branch. Also included are a selection of sites from statistical reporting agencies\, banking institutions\, universities\, U.S. Embassy and critical NGOs supporting democratic and human rights initiatives. The date range of the collection overlaps with the country's presidential (2009)..."
"African American Perspectives: Materials Selected from the Rare Book Collection","https://www.loc.gov/collections/african-american-perspectives-rare-books/about-this-collection/","","","\"African American Perspectives\" gives a panoramic and eclectic review of African American history and culture and is primarily comprised of two collections in the Rare Book and Special Collections Division: the African American Pamphlet Collection and the Daniel A.P. Murray Collection with a date range of 1822 through 1909. Most were written by African-American authors\, though some were written by others on topics of..."
"African American Photographs Assembled for 1900 Paris Exposition","https://www.loc.gov/collections/african-american-photographs-1900-paris-exposition/about-this-collection/","Media-Photos","","The Paris Exposition of 1900 (Exposition universelle internationale de 1900) devoted a building to matters of \"social economy.\" The United States section of the building featured an exhibit that\, according to W. E. B. Du Bois\, attempted to show \"(a) The history of the American Negro. (b) His present condition. (c) His education. (d) His literature.\" 1 Du Bois and Thomas J. Calloway\, who..."
"African-American Band Music & Recordings\, 1883-1923","https://www.loc.gov/collections/african-american-band-music/about-this-collection/","","","The core of this presentation consists of \"stock\" arrangements for bands or small orchestras of popular songs written by African Americans. In addition\, we offer a smaller selection of historic sound recordings illustrating these songs and many others by the same composers (the arrangements might not necessarily be the same as those on the stocks). Educational materials include short biographies of composers and performers..."
"After the Day of Infamy \"Man-on-the-Street\" Interviews Following the Attack on Pearl Harbor","https://www.loc.gov/collections/interviews-following-the-attack-on-pearl-harbor/about-this-collection/","","War-WW2","After the Day of Infamy: \"Man-on-the-Street\" Interviews Following the Attack on Pearl Harbor presents approximately twelve hours of opinions recorded in the days and months following the bombing of Pearl Harbor from more than two hundred individuals in cities and towns across the United States. On December 8\, 1941 (the day after the Japanese attack on Pearl Harbor)\, Alan Lomax\, then \"assistant in charge\"..."
"Alan Lomax Collection","https://www.loc.gov/collections/alan-lomax-manuscripts/about-this-collection/","","","The Alan Lomax Collection includes ethnographic field documentation\, materials from Lomax’s various projects\, and cross-cultural research created and collected by Alan Lomax and others on traditional song\, music\, dance\, and body movement from around the world. Lomax conducted fieldwork in the Bahamas\, the Caribbean\, England\, France\, Georgia (Republic)\, Haiti\, Ireland\, Italy\, Morocco\, Romania\, Russia\, Scotland\, Spain\, the United States\, and Wales from the 1930s-1990s...."
